study	qtl_group	tissue_ontology_id	tissue_ontology_term	tissue_label	condition_label	quant_method	ftp_path
GTEx	brain_caudate	UBERON_0001873	"caudate nucleus"	brain (caudate)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_caudate.all.tsv.gz
GTEx	brain_caudate	UBERON_0001873	"caudate nucleus"	brain (caudate)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_caudate.all.tsv.gz
GTEx	brain_caudate	UBERON_0001873	"caudate nucleus"	brain (caudate)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_caudate.all.tsv.gz
GTEx	brain_caudate	UBERON_0001873	"caudate nucleus"	brain (caudate)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_caudate.all.tsv.gz
GTEx	brain_cerebellar_hemisphere	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_cerebellar_hemisphere.all.tsv.gz
GTEx	brain_cerebellar_hemisphere	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_cerebellar_hemisphere.all.tsv.gz
GTEx	brain_cerebellar_hemisphere	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_cerebellar_hemisphere.all.tsv.gz
GTEx	brain_cerebellar_hemisphere	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_cerebellar_hemisphere.all.tsv.gz
GTEx	brain_cerebellum	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_cerebellum.all.tsv.gz
GTEx	brain_cerebellum	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_cerebellum.all.tsv.gz
GTEx	brain_cerebellum	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_cerebellum.all.tsv.gz
GTEx	brain_cerebellum	UBERON_0002037	"cerebellum"	brain (cerebellum)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_cerebellum.all.tsv.gz
GTEx	brain_cortex	UBERON_0001870	"frontal cortex"	brain (cortex)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_cortex.all.tsv.gz
GTEx	brain_cortex	UBERON_0001870	"frontal cortex"	brain (cortex)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_cortex.all.tsv.gz
GTEx	brain_cortex	UBERON_0001870	"frontal cortex"	brain (cortex)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_cortex.all.tsv.gz
GTEx	brain_cortex	UBERON_0001870	"frontal cortex"	brain (cortex)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_cortex.all.tsv.gz
GTEx	brain_frontal_cortex	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_frontal_cortex.all.tsv.gz
GTEx	brain_frontal_cortex	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_frontal_cortex.all.tsv.gz
GTEx	brain_frontal_cortex	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_frontal_cortex.all.tsv.gz
GTEx	brain_frontal_cortex	UBERON_0009834	"dorsolateral prefrontal cortex"	brain (DLPFC)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_frontal_cortex.all.tsv.gz
GTEx	brain_hippocampus	UBERON_0001954	"Ammon's horn"	brain (hippocampus)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_hippocampus.all.tsv.gz
GTEx	brain_hippocampus	UBERON_0001954	"Ammon's horn"	brain (hippocampus)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_hippocampus.all.tsv.gz
GTEx	brain_hippocampus	UBERON_0001954	"Ammon's horn"	brain (hippocampus)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_hippocampus.all.tsv.gz
GTEx	brain_hippocampus	UBERON_0001954	"Ammon's horn"	brain (hippocampus)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_hippocampus.all.tsv.gz
GTEx	brain_hypothalamus	UBERON_0001898	"hypothalamus"	brain (hypothalamus)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_hypothalamus.all.tsv.gz
GTEx	brain_hypothalamus	UBERON_0001898	"hypothalamus"	brain (hypothalamus)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_hypothalamus.all.tsv.gz
GTEx	brain_hypothalamus	UBERON_0001898	"hypothalamus"	brain (hypothalamus)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_hypothalamus.all.tsv.gz
GTEx	brain_hypothalamus	UBERON_0001898	"hypothalamus"	brain (hypothalamus)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_hypothalamus.all.tsv.gz
GTEx	brain_nucleus_accumbens	UBERON_0001882	"nucleus accumbens"	brain (nucleus accumbens)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_nucleus_accumbens.all.tsv.gz
GTEx	brain_nucleus_accumbens	UBERON_0001882	"nucleus accumbens"	brain (nucleus accumbens)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_nucleus_accumbens.all.tsv.gz
GTEx	brain_nucleus_accumbens	UBERON_0001882	"nucleus accumbens"	brain (nucleus accumbens)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_nucleus_accumbens.all.tsv.gz
GTEx	brain_nucleus_accumbens	UBERON_0001882	"nucleus accumbens"	brain (nucleus accumbens)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_nucleus_accumbens.all.tsv.gz
GTEx	brain_putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_putamen.all.tsv.gz
GTEx	brain_putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_putamen.all.tsv.gz
GTEx	brain_putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_putamen.all.tsv.gz
GTEx	brain_putamen	UBERON_0001874	"putamen"	brain (putamen)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_putamen.all.tsv.gz
GTEx	brain_spinal_cord	UBERON_0006469	"C1 segment of cervical spinal cord"	brain (spinal cord)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_spinal_cord.all.tsv.gz
GTEx	brain_spinal_cord	UBERON_0006469	"C1 segment of cervical spinal cord"	brain (spinal cord)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_spinal_cord.all.tsv.gz
GTEx	brain_spinal_cord	UBERON_0006469	"C1 segment of cervical spinal cord"	brain (spinal cord)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_spinal_cord.all.tsv.gz
GTEx	brain_spinal_cord	UBERON_0006469	"C1 segment of cervical spinal cord"	brain (spinal cord)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_spinal_cord.all.tsv.gz
GTEx	brain_substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_brain_substantia_nigra.all.tsv.gz
GTEx	brain_substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_brain_substantia_nigra.all.tsv.gz
GTEx	brain_substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_brain_substantia_nigra.all.tsv.gz
GTEx	brain_substantia_nigra	UBERON_0002038	"substantia nigra"	brain (substantia nigra)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_brain_substantia_nigra.all.tsv.gz
GTEx	breast	UBERON_0008367	"breast epithelium"	breast	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_breast.all.tsv.gz
GTEx	breast	UBERON_0008367	"breast epithelium"	breast	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_breast.all.tsv.gz
GTEx	breast	UBERON_0008367	"breast epithelium"	breast	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_breast.all.tsv.gz
GTEx	breast	UBERON_0008367	"breast epithelium"	breast	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_breast.all.tsv.gz
GTEx	colon_sigmoid	UBERON_0001159	"sigmoid colon"	sigmoid colon	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_colon_sigmoid.all.tsv.gz
GTEx	colon_sigmoid	UBERON_0001159	"sigmoid colon"	sigmoid colon	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_colon_sigmoid.all.tsv.gz
GTEx	colon_sigmoid	UBERON_0001159	"sigmoid colon"	sigmoid colon	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_colon_sigmoid.all.tsv.gz
GTEx	colon_sigmoid	UBERON_0001159	"sigmoid colon"	sigmoid colon	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_colon_sigmoid.all.tsv.gz
GTEx	colon_transverse	UBERON_0001157	"transverse colon"	transverse colon	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_colon_transverse.all.tsv.gz
GTEx	colon_transverse	UBERON_0001157	"transverse colon"	transverse colon	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_colon_transverse.all.tsv.gz
GTEx	colon_transverse	UBERON_0001157	"transverse colon"	transverse colon	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_colon_transverse.all.tsv.gz
GTEx	colon_transverse	UBERON_0001157	"transverse colon"	transverse colon	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_colon_transverse.all.tsv.gz
GTEx	esophagus_gej	UBERON_0004550	"gastroesophageal sphincter"	esophagus (gej)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_esophagus_gej.all.tsv.gz
GTEx	esophagus_gej	UBERON_0004550	"gastroesophageal sphincter"	esophagus (gej)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_esophagus_gej.all.tsv.gz
GTEx	esophagus_gej	UBERON_0004550	"gastroesophageal sphincter"	esophagus (gej)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_esophagus_gej.all.tsv.gz
GTEx	esophagus_gej	UBERON_0004550	"gastroesophageal sphincter"	esophagus (gej)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_esophagus_gej.all.tsv.gz
GTEx	esophagus_mucosa	UBERON_0006920	"esophagus squamous epithelium"	esophagus (mucosa)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_esophagus_mucosa.all.tsv.gz
GTEx	esophagus_mucosa	UBERON_0006920	"esophagus squamous epithelium"	esophagus (mucosa)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_esophagus_mucosa.all.tsv.gz
GTEx	esophagus_mucosa	UBERON_0006920	"esophagus squamous epithelium"	esophagus (mucosa)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_esophagus_mucosa.all.tsv.gz
GTEx	esophagus_mucosa	UBERON_0006920	"esophagus squamous epithelium"	esophagus (mucosa)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_esophagus_mucosa.all.tsv.gz
GTEx	esophagus_muscularis	UBERON_0004648	"esophagus muscularis mucosa"	esophagus (muscularis)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_esophagus_muscularis.all.tsv.gz
GTEx	esophagus_muscularis	UBERON_0004648	"esophagus muscularis mucosa"	esophagus (muscularis)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_esophagus_muscularis.all.tsv.gz
GTEx	esophagus_muscularis	UBERON_0004648	"esophagus muscularis mucosa"	esophagus (muscularis)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_esophagus_muscularis.all.tsv.gz
GTEx	esophagus_muscularis	UBERON_0004648	"esophagus muscularis mucosa"	esophagus (muscularis)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_esophagus_muscularis.all.tsv.gz
GTEx	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_fibroblast.all.tsv.gz
GTEx	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_fibroblast.all.tsv.gz
GTEx	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_fibroblast.all.tsv.gz
GTEx	fibroblast	CL_0000057	"fibroblast"	fibroblast	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_fibroblast.all.tsv.gz
GTEx	heart_atrial_appendage	UBERON_0006631	"right atrium auricular region"	heart (atrial appendage)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_heart_atrial_appendage.all.tsv.gz
GTEx	heart_atrial_appendage	UBERON_0006631	"right atrium auricular region"	heart (atrial appendage)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_heart_atrial_appendage.all.tsv.gz
GTEx	heart_atrial_appendage	UBERON_0006631	"right atrium auricular region"	heart (atrial appendage)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_heart_atrial_appendage.all.tsv.gz
GTEx	heart_atrial_appendage	UBERON_0006631	"right atrium auricular region"	heart (atrial appendage)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_heart_atrial_appendage.all.tsv.gz
GTEx	heart_left_ventricle	UBERON_0006566	"left ventricle myocardium"	heart (left ventricle)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_heart_left_ventricle.all.tsv.gz
GTEx	heart_left_ventricle	UBERON_0006566	"left ventricle myocardium"	heart (left ventricle)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_heart_left_ventricle.all.tsv.gz
GTEx	heart_left_ventricle	UBERON_0006566	"left ventricle myocardium"	heart (left ventricle)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_heart_left_ventricle.all.tsv.gz
GTEx	heart_left_ventricle	UBERON_0006566	"left ventricle myocardium"	heart (left ventricle)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_heart_left_ventricle.all.tsv.gz
GTEx	kidney_cortex	UBERON_0001225	"cortex of kidney"	kidney (cortex)	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_kidney_cortex.all.tsv.gz
GTEx	kidney_cortex	UBERON_0001225	"cortex of kidney"	kidney (cortex)	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_kidney_cortex.all.tsv.gz
GTEx	kidney_cortex	UBERON_0001225	"cortex of kidney"	kidney (cortex)	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_kidney_cortex.all.tsv.gz
GTEx	kidney_cortex	UBERON_0001225	"cortex of kidney"	kidney (cortex)	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_kidney_cortex.all.tsv.gz
GTEx	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_LCL.all.tsv.gz
GTEx	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_LCL.all.tsv.gz
GTEx	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_LCL.all.tsv.gz
GTEx	LCL	EFO_0005292	"lymphoblastoid cell line"	LCL	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_LCL.all.tsv.gz
GTEx	liver	UBERON_0001114	"right lobe of liver"	liver	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_liver.all.tsv.gz
GTEx	liver	UBERON_0001114	"right lobe of liver"	liver	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_liver.all.tsv.gz
GTEx	liver	UBERON_0001114	"right lobe of liver"	liver	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_liver.all.tsv.gz
GTEx	liver	UBERON_0001114	"right lobe of liver"	liver	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_liver.all.tsv.gz
GTEx	lung	UBERON_0008952	"upper lobe of left lung"	lung	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_lung.all.tsv.gz
GTEx	lung	UBERON_0008952	"upper lobe of left lung"	lung	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_lung.all.tsv.gz
GTEx	lung	UBERON_0008952	"upper lobe of left lung"	lung	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_lung.all.tsv.gz
GTEx	lung	UBERON_0008952	"upper lobe of left lung"	lung	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_lung.all.tsv.gz
GTEx	minor_salivary_gland	UBERON_0006330	"anterior lingual gland"	minor salivary gland	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_minor_salivary_gland.all.tsv.gz
GTEx	minor_salivary_gland	UBERON_0006330	"anterior lingual gland"	minor salivary gland	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_minor_salivary_gland.all.tsv.gz
GTEx	minor_salivary_gland	UBERON_0006330	"anterior lingual gland"	minor salivary gland	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_minor_salivary_gland.all.tsv.gz
GTEx	minor_salivary_gland	UBERON_0006330	"anterior lingual gland"	minor salivary gland	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_minor_salivary_gland.all.tsv.gz
GTEx	muscle	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_muscle.all.tsv.gz
GTEx	muscle	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_muscle.all.tsv.gz
GTEx	muscle	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_muscle.all.tsv.gz
GTEx	muscle	UBERON_0001134	"skeletal muscle tissue"	muscle	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_muscle.all.tsv.gz
GTEx	nerve_tibial	UBERON_0001323	"tibial nerve"	tibial nerve	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_nerve_tibial.all.tsv.gz
GTEx	nerve_tibial	UBERON_0001323	"tibial nerve"	tibial nerve	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_nerve_tibial.all.tsv.gz
GTEx	nerve_tibial	UBERON_0001323	"tibial nerve"	tibial nerve	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_nerve_tibial.all.tsv.gz
GTEx	nerve_tibial	UBERON_0001323	"tibial nerve"	tibial nerve	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_nerve_tibial.all.tsv.gz
GTEx	ovary	UBERON_0000992	"female gonad"	ovary	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_ovary.all.tsv.gz
GTEx	ovary	UBERON_0000992	"female gonad"	ovary	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_ovary.all.tsv.gz
GTEx	ovary	UBERON_0000992	"female gonad"	ovary	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_ovary.all.tsv.gz
GTEx	ovary	UBERON_0000992	"female gonad"	ovary	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_ovary.all.tsv.gz
GTEx	pancreas	UBERON_0001150	"body of pancreas"	pancreas	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_pancreas.all.tsv.gz
GTEx	pancreas	UBERON_0001150	"body of pancreas"	pancreas	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_pancreas.all.tsv.gz
GTEx	pancreas	UBERON_0001150	"body of pancreas"	pancreas	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_pancreas.all.tsv.gz
GTEx	pancreas	UBERON_0001150	"body of pancreas"	pancreas	naive	txrev	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/txrev/GTEx_txrev_pancreas.all.tsv.gz
GTEx	pituitary	UBERON_0000007	"pituitary gland"	pituitary	naive	exon	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/exon/GTEx_exon_pituitary.all.tsv.gz
GTEx	pituitary	UBERON_0000007	"pituitary gland"	pituitary	naive	ge	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/ge/GTEx_ge_pituitary.all.tsv.gz
GTEx	pituitary	UBERON_0000007	"pituitary gland"	pituitary	naive	tx	ftp://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/GTEx/tx/GTEx_tx_pituitary.all.tsv.gz
