gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	cell_type_class
UC-ebi-a-GCST004133	Alasoo_2018.macrophage_IFNg+Salmonella_exon	1	1	84	immune cell
UC-ebi-a-GCST004133	BLUEPRINT_PE.T-cell_exon	2	2	167	immune cell
UC-ebi-a-GCST004133	BLUEPRINT_SE.monocyte_exon	6	6	191	immune cell
UC-ebi-a-GCST004133	BLUEPRINT_SE.neutrophil_exon	3	3	196	immune cell
UC-ebi-a-GCST004133	BrainSeq.brain_exon	1	1	479	other
UC-ebi-a-GCST004133	FUSION.adipose_naive_exon	2	2	271	other
UC-ebi-a-GCST004133	GENCORD.LCL_exon	2	2	190	immune cell
UC-ebi-a-GCST004133	GENCORD.T-cell_exon	1	1	184	immune cell
UC-ebi-a-GCST004133	GEUVADIS.LCL_exon	5	5	445	immune cell
UC-ebi-a-GCST004133	HipSci.iPSC_exon	2	1	322	other
UC-ebi-a-GCST004133	Lepik_2017.blood_exon	3	3	471	immune cell
UC-ebi-a-GCST004133	Nedelec_2016.macrophage_Listeria_exon	1	1	163	immune cell
UC-ebi-a-GCST004133	Nedelec_2016.macrophage_naive_exon	2	2	163	immune cell
UC-ebi-a-GCST004133	Nedelec_2016.macrophage_Salmonella_exon	1	1	167	immune cell
UC-ebi-a-GCST004133	Quach_2016.monocyte_IAV_exon	3	3	198	immune cell
UC-ebi-a-GCST004133	Quach_2016.monocyte_LPS_exon	3	3	184	immune cell
UC-ebi-a-GCST004133	Quach_2016.monocyte_naive_exon	4	4	200	immune cell
UC-ebi-a-GCST004133	Quach_2016.monocyte_Pam3CSK4_exon	3	3	196	immune cell
UC-ebi-a-GCST004133	Quach_2016.monocyte_R848_exon	6	6	191	immune cell
UC-ebi-a-GCST004133	Schmiedel_2018.B-cell_naive_exon	1	1	91	immune cell
UC-ebi-a-GCST004133	Schmiedel_2018.CD8_T-cell_naive_exon	1	1	89	immune cell
UC-ebi-a-GCST004133	Schmiedel_2018.monocyte_CD16_naive_exon	1	1	90	immune cell
UC-ebi-a-GCST004133	TwinsUK.fat_exon	3	3	381	other
UC-ebi-a-GCST004133	TwinsUK.LCL_exon	2	2	418	immune cell
UC-ebi-a-GCST004133	TwinsUK.skin_exon	3	2	370	other
