gwas_id	qtl_subset	n_colocs_in_novel_ld_blocks	n_unique_novel_ld_blocks	sample_size	cell_type_class
LDLC	Alasoo_2018.macrophage_IFNg_ge	8	4	84	immune cell
LDLC	Alasoo_2018.macrophage_IFNg+Salmonella_ge	3	1	84	immune cell
LDLC	Alasoo_2018.macrophage_naive_ge	11	4	84	immune cell
LDLC	Alasoo_2018.macrophage_Salmonella_ge	2	1	84	immune cell
LDLC	BLUEPRINT_PE.T-cell_ge	11	3	167	immune cell
LDLC	BLUEPRINT_SE.monocyte_ge	16	6	191	immune cell
LDLC	BLUEPRINT_SE.neutrophil_ge	6	2	196	immune cell
LDLC	BrainSeq.brain_ge	3	1	479	other
LDLC	CEDAR.B-cell_CD19_microarray	1	1	262	immune cell
LDLC	CEDAR.ileum_microarray	1	1	180	other
LDLC	CEDAR.monocyte_CD14_microarray	5	4	286	immune cell
LDLC	CEDAR.neutrophil_CD15_microarray	2	2	280	immune cell
LDLC	CEDAR.platelet_microarray	6	1	205	immune cell
LDLC	CEDAR.rectum_microarray	2	2	271	other
LDLC	CEDAR.T-cell_CD4_microarray	1	1	290	immune cell
LDLC	CEDAR.transverse_colon_microarray	2	2	286	other
LDLC	Fairfax_2012.B-cell_CD19_microarray	6	4	281	immune cell
LDLC	Fairfax_2014.monocyte_IFN24_microarray	16	8	370	immune cell
LDLC	Fairfax_2014.monocyte_LPS2_microarray	3	3	256	immune cell
LDLC	Fairfax_2014.monocyte_LPS24_microarray	4	2	325	immune cell
LDLC	Fairfax_2014.monocyte_naive_microarray	18	6	420	immune cell
LDLC	FUSION.adipose_naive_ge	14	6	271	other
LDLC	FUSION.muscle_naive_ge	9	3	288	other
LDLC	GEUVADIS.LCL_ge	20	4	445	immune cell
LDLC	HipSci.iPSC_ge	12	5	322	other
LDLC	Kasela_2017.T-cell_CD4_microarray	2	2	280	immune cell
LDLC	Lepik_2017.blood_ge	12	5	471	immune cell
LDLC	Naranbhai_2015.neutrophil_CD16_microarray	2	1	93	immune cell
LDLC	Nedelec_2016.macrophage_Listeria_ge	6	4	163	immune cell
LDLC	Nedelec_2016.macrophage_naive_ge	16	6	163	immune cell
LDLC	Nedelec_2016.macrophage_Salmonella_ge	7	3	167	immune cell
LDLC	Quach_2016.monocyte_IAV_ge	11	4	198	immune cell
LDLC	Quach_2016.monocyte_LPS_ge	15	5	184	immune cell
LDLC	Quach_2016.monocyte_naive_ge	26	10	200	immune cell
LDLC	Quach_2016.monocyte_Pam3CSK4_ge	9	3	196	immune cell
LDLC	Quach_2016.monocyte_R848_ge	9	4	191	immune cell
LDLC	ROSMAP.brain_naive_ge	25	5	576	other
LDLC	Schmiedel_2018.B-cell_naive_ge	2	1	91	immune cell
LDLC	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	9	4	89	immune cell
LDLC	Schmiedel_2018.CD4_T-cell_naive_ge	12	2	88	immune cell
LDLC	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	7	2	88	immune cell
LDLC	Schmiedel_2018.CD8_T-cell_naive_ge	14	2	89	immune cell
LDLC	Schmiedel_2018.monocyte_CD16_naive_ge	3	2	90	immune cell
LDLC	Schmiedel_2018.monocyte_naive_ge	4	2	91	immune cell
LDLC	Schmiedel_2018.NK-cell_naive_ge	6	2	90	immune cell
LDLC	Schmiedel_2018.Tfh_memory_ge	2	2	89	immune cell
LDLC	Schmiedel_2018.Th1_memory_ge	2	1	82	immune cell
LDLC	Schmiedel_2018.Th1-17_memory_ge	7	2	88	immune cell
LDLC	Schmiedel_2018.Th17_memory_ge	13	4	89	immune cell
LDLC	Schmiedel_2018.Th2_memory_ge	1	1	89	immune cell
LDLC	Schmiedel_2018.Treg_memory_ge	1	1	89	immune cell
LDLC	Schmiedel_2018.Treg_naive_ge	1	1	89	immune cell
LDLC	TwinsUK.fat_ge	18	8	381	other
LDLC	TwinsUK.LCL_ge	21	8	418	immune cell
LDLC	TwinsUK.skin_ge	5	4	370	other
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_IFNg+Salmonella_ge	4	2	84	immune cell
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_naive_ge	2	2	84	immune cell
MC-ebi-a-GCST004625	Alasoo_2018.macrophage_Salmonella_ge	3	1	84	immune cell
MC-ebi-a-GCST004625	BLUEPRINT_PE.T-cell_ge	15	3	167	immune cell
MC-ebi-a-GCST004625	BLUEPRINT_SE.monocyte_ge	42	12	191	immune cell
MC-ebi-a-GCST004625	BLUEPRINT_SE.neutrophil_ge	25	8	196	immune cell
MC-ebi-a-GCST004625	BrainSeq.brain_ge	5	1	479	other
MC-ebi-a-GCST004625	CEDAR.B-cell_CD19_microarray	14	4	262	immune cell
MC-ebi-a-GCST004625	CEDAR.monocyte_CD14_microarray	21	8	286	immune cell
MC-ebi-a-GCST004625	CEDAR.neutrophil_CD15_microarray	2	2	280	immune cell
MC-ebi-a-GCST004625	CEDAR.rectum_microarray	9	2	271	other
MC-ebi-a-GCST004625	CEDAR.T-cell_CD4_microarray	10	3	290	immune cell
MC-ebi-a-GCST004625	CEDAR.T-cell_CD8_microarray	11	3	277	immune cell
MC-ebi-a-GCST004625	CEDAR.transverse_colon_microarray	4	1	286	other
MC-ebi-a-GCST004625	Fairfax_2012.B-cell_CD19_microarray	13	3	281	immune cell
MC-ebi-a-GCST004625	Fairfax_2014.monocyte_IFN24_microarray	29	8	370	immune cell
MC-ebi-a-GCST004625	Fairfax_2014.monocyte_LPS2_microarray	17	3	256	immune cell
MC-ebi-a-GCST004625	Fairfax_2014.monocyte_LPS24_microarray	20	8	325	immune cell
MC-ebi-a-GCST004625	Fairfax_2014.monocyte_naive_microarray	38	14	420	immune cell
MC-ebi-a-GCST004625	FUSION.adipose_naive_ge	7	2	271	other
MC-ebi-a-GCST004625	FUSION.muscle_naive_ge	2	2	288	other
MC-ebi-a-GCST004625	GEUVADIS.LCL_ge	3	1	445	immune cell
MC-ebi-a-GCST004625	HipSci.iPSC_ge	8	2	322	other
MC-ebi-a-GCST004625	Kasela_2017.T-cell_CD4_microarray	1	1	280	immune cell
MC-ebi-a-GCST004625	Lepik_2017.blood_ge	51	13	471	immune cell
MC-ebi-a-GCST004625	Naranbhai_2015.neutrophil_CD16_microarray	1	1	93	immune cell
MC-ebi-a-GCST004625	Nedelec_2016.macrophage_Listeria_ge	8	1	163	immune cell
MC-ebi-a-GCST004625	Nedelec_2016.macrophage_naive_ge	9	1	163	immune cell
MC-ebi-a-GCST004625	Nedelec_2016.macrophage_Salmonella_ge	8	1	167	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_IAV_ge	27	5	198	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_LPS_ge	28	3	184	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_naive_ge	35	6	200	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_Pam3CSK4_ge	19	4	196	immune cell
MC-ebi-a-GCST004625	Quach_2016.monocyte_R848_ge	33	4	191	immune cell
MC-ebi-a-GCST004625	ROSMAP.brain_naive_ge	5	2	576	other
MC-ebi-a-GCST004625	Schmiedel_2018.B-cell_naive_ge	2	1	91	immune cell
MC-ebi-a-GCST004625	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	1	1	88	immune cell
MC-ebi-a-GCST004625	Schmiedel_2018.monocyte_CD16_naive_ge	12	3	90	immune cell
MC-ebi-a-GCST004625	Schmiedel_2018.monocyte_naive_ge	30	7	91	immune cell
MC-ebi-a-GCST004625	Schmiedel_2018.NK-cell_naive_ge	1	1	90	immune cell
MC-ebi-a-GCST004625	Schmiedel_2018.Treg_memory_ge	4	2	89	immune cell
MC-ebi-a-GCST004625	Schmiedel_2018.Treg_naive_ge	2	2	89	immune cell
MC-ebi-a-GCST004625	TwinsUK.blood_ge	12	5	195	immune cell
MC-ebi-a-GCST004625	TwinsUK.fat_ge	14	5	381	other
MC-ebi-a-GCST004625	TwinsUK.LCL_ge	10	5	418	immune cell
MC-ebi-a-GCST004625	TwinsUK.skin_ge	11	4	370	other
MPV-ebi-a-GCST004599	Alasoo_2018.macrophage_IFNg_ge	3	1	84	immune cell
MPV-ebi-a-GCST004599	Alasoo_2018.macrophage_IFNg+Salmonella_ge	5	1	84	immune cell
MPV-ebi-a-GCST004599	Alasoo_2018.macrophage_Salmonella_ge	10	3	84	immune cell
MPV-ebi-a-GCST004599	BLUEPRINT_PE.T-cell_ge	16	2	167	immune cell
MPV-ebi-a-GCST004599	BLUEPRINT_SE.monocyte_ge	14	6	191	immune cell
MPV-ebi-a-GCST004599	BLUEPRINT_SE.neutrophil_ge	19	6	196	immune cell
MPV-ebi-a-GCST004599	BrainSeq.brain_ge	3	1	479	other
MPV-ebi-a-GCST004599	CEDAR.monocyte_CD14_microarray	6	1	286	immune cell
MPV-ebi-a-GCST004599	CEDAR.neutrophil_CD15_microarray	7	3	280	immune cell
MPV-ebi-a-GCST004599	CEDAR.platelet_microarray	30	7	205	immune cell
MPV-ebi-a-GCST004599	CEDAR.rectum_microarray	5	3	271	other
MPV-ebi-a-GCST004599	CEDAR.T-cell_CD8_microarray	1	1	277	immune cell
MPV-ebi-a-GCST004599	CEDAR.transverse_colon_microarray	2	1	286	other
MPV-ebi-a-GCST004599	Fairfax_2012.B-cell_CD19_microarray	4	1	281	immune cell
MPV-ebi-a-GCST004599	Fairfax_2014.monocyte_IFN24_microarray	6	4	370	immune cell
MPV-ebi-a-GCST004599	Fairfax_2014.monocyte_LPS2_microarray	5	2	256	immune cell
MPV-ebi-a-GCST004599	Fairfax_2014.monocyte_LPS24_microarray	5	2	325	immune cell
MPV-ebi-a-GCST004599	Fairfax_2014.monocyte_naive_microarray	12	2	420	immune cell
MPV-ebi-a-GCST004599	FUSION.adipose_naive_ge	3	1	271	other
MPV-ebi-a-GCST004599	FUSION.muscle_naive_ge	11	4	288	other
MPV-ebi-a-GCST004599	GENCORD.LCL_ge	3	2	190	immune cell
MPV-ebi-a-GCST004599	GEUVADIS.LCL_ge	10	4	445	immune cell
MPV-ebi-a-GCST004599	HipSci.iPSC_ge	14	5	322	other
MPV-ebi-a-GCST004599	Kasela_2017.T-cell_CD8_microarray	1	1	269	immune cell
MPV-ebi-a-GCST004599	Lepik_2017.blood_ge	25	10	471	immune cell
MPV-ebi-a-GCST004599	Nedelec_2016.macrophage_Listeria_ge	3	1	163	immune cell
MPV-ebi-a-GCST004599	Nedelec_2016.macrophage_naive_ge	6	1	163	immune cell
MPV-ebi-a-GCST004599	Nedelec_2016.macrophage_Salmonella_ge	5	2	167	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_IAV_ge	12	5	198	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_LPS_ge	9	4	184	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_naive_ge	13	5	200	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_Pam3CSK4_ge	20	7	196	immune cell
MPV-ebi-a-GCST004599	Quach_2016.monocyte_R848_ge	12	5	191	immune cell
MPV-ebi-a-GCST004599	ROSMAP.brain_naive_ge	6	4	576	other
MPV-ebi-a-GCST004599	Schmiedel_2018.B-cell_naive_ge	6	2	91	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	1	1	89	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.CD4_T-cell_naive_ge	5	1	88	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.monocyte_CD16_naive_ge	4	2	90	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.monocyte_naive_ge	2	2	91	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.NK-cell_naive_ge	2	1	90	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.Th1_memory_ge	1	1	82	immune cell
MPV-ebi-a-GCST004599	Schmiedel_2018.Treg_memory_ge	1	1	89	immune cell
MPV-ebi-a-GCST004599	TwinsUK.blood_ge	6	2	195	immune cell
MPV-ebi-a-GCST004599	TwinsUK.fat_ge	11	5	381	other
MPV-ebi-a-GCST004599	TwinsUK.LCL_ge	20	8	418	immune cell
MPV-ebi-a-GCST004599	TwinsUK.skin_ge	10	1	370	other
PLT-ebi-a-GCST004603	Alasoo_2018.macrophage_IFNg_ge	12	4	84	immune cell
PLT-ebi-a-GCST004603	Alasoo_2018.macrophage_IFNg+Salmonella_ge	11	3	84	immune cell
PLT-ebi-a-GCST004603	Alasoo_2018.macrophage_naive_ge	7	4	84	immune cell
PLT-ebi-a-GCST004603	Alasoo_2018.macrophage_Salmonella_ge	4	3	84	immune cell
PLT-ebi-a-GCST004603	BLUEPRINT_PE.T-cell_ge	37	7	167	immune cell
PLT-ebi-a-GCST004603	BLUEPRINT_SE.monocyte_ge	13	4	191	immune cell
PLT-ebi-a-GCST004603	BLUEPRINT_SE.neutrophil_ge	3	2	196	immune cell
PLT-ebi-a-GCST004603	CEDAR.B-cell_CD19_microarray	3	2	262	immune cell
PLT-ebi-a-GCST004603	CEDAR.monocyte_CD14_microarray	3	1	286	immune cell
PLT-ebi-a-GCST004603	CEDAR.neutrophil_CD15_microarray	3	2	280	immune cell
PLT-ebi-a-GCST004603	CEDAR.platelet_microarray	15	4	205	immune cell
PLT-ebi-a-GCST004603	CEDAR.rectum_microarray	1	1	271	other
PLT-ebi-a-GCST004603	CEDAR.T-cell_CD4_microarray	4	2	290	immune cell
PLT-ebi-a-GCST004603	CEDAR.transverse_colon_microarray	7	5	286	other
PLT-ebi-a-GCST004603	Fairfax_2012.B-cell_CD19_microarray	6	3	281	immune cell
PLT-ebi-a-GCST004603	Fairfax_2014.monocyte_IFN24_microarray	5	3	370	immune cell
PLT-ebi-a-GCST004603	Fairfax_2014.monocyte_LPS24_microarray	1	1	325	immune cell
PLT-ebi-a-GCST004603	Fairfax_2014.monocyte_naive_microarray	6	3	420	immune cell
PLT-ebi-a-GCST004603	FUSION.adipose_naive_ge	21	5	271	other
PLT-ebi-a-GCST004603	FUSION.muscle_naive_ge	9	2	288	other
PLT-ebi-a-GCST004603	GENCORD.fibroblast_ge	7	2	186	immune cell
PLT-ebi-a-GCST004603	GENCORD.LCL_ge	22	5	190	immune cell
PLT-ebi-a-GCST004603	GENCORD.T-cell_ge	6	2	184	immune cell
PLT-ebi-a-GCST004603	GEUVADIS.LCL_ge	12	5	445	immune cell
PLT-ebi-a-GCST004603	HipSci.iPSC_ge	5	3	322	other
PLT-ebi-a-GCST004603	Lepik_2017.blood_ge	28	9	471	immune cell
PLT-ebi-a-GCST004603	Naranbhai_2015.neutrophil_CD16_microarray	1	1	93	immune cell
PLT-ebi-a-GCST004603	Nedelec_2016.macrophage_Salmonella_ge	2	1	167	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_IAV_ge	11	3	198	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_LPS_ge	22	6	184	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_naive_ge	14	4	200	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_Pam3CSK4_ge	18	7	196	immune cell
PLT-ebi-a-GCST004603	Quach_2016.monocyte_R848_ge	20	7	191	immune cell
PLT-ebi-a-GCST004603	ROSMAP.brain_naive_ge	4	3	576	other
PLT-ebi-a-GCST004603	Schmiedel_2018.B-cell_naive_ge	8	2	91	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	1	1	89	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.CD4_T-cell_naive_ge	11	2	88	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.CD8_T-cell_naive_ge	3	1	89	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.monocyte_CD16_naive_ge	9	2	90	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.monocyte_naive_ge	7	2	91	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.NK-cell_naive_ge	5	1	90	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.Tfh_memory_ge	3	1	89	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.Th1_memory_ge	3	1	82	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.Th17_memory_ge	16	4	89	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.Th2_memory_ge	3	1	89	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.Treg_memory_ge	7	1	89	immune cell
PLT-ebi-a-GCST004603	Schmiedel_2018.Treg_naive_ge	4	1	89	immune cell
PLT-ebi-a-GCST004603	Schwartzentruber_2018.sensory_neuron_ge	3	1	98	other
PLT-ebi-a-GCST004603	TwinsUK.blood_ge	7	2	195	immune cell
PLT-ebi-a-GCST004603	TwinsUK.fat_ge	21	8	381	other
PLT-ebi-a-GCST004603	TwinsUK.LCL_ge	24	9	418	immune cell
PLT-ebi-a-GCST004603	TwinsUK.skin_ge	8	3	370	other
RA-ebi-a-GCST002318	Alasoo_2018.macrophage_IFNg_ge	1	1	84	immune cell
RA-ebi-a-GCST002318	Alasoo_2018.macrophage_IFNg+Salmonella_ge	1	1	84	immune cell
RA-ebi-a-GCST002318	Alasoo_2018.macrophage_Salmonella_ge	1	1	84	immune cell
RA-ebi-a-GCST002318	BLUEPRINT_PE.T-cell_ge	17	7	167	immune cell
RA-ebi-a-GCST002318	BLUEPRINT_SE.monocyte_ge	19	5	191	immune cell
RA-ebi-a-GCST002318	BLUEPRINT_SE.neutrophil_ge	2	2	196	immune cell
RA-ebi-a-GCST002318	CEDAR.B-cell_CD19_microarray	7	2	262	immune cell
RA-ebi-a-GCST002318	CEDAR.monocyte_CD14_microarray	2	1	286	immune cell
RA-ebi-a-GCST002318	CEDAR.neutrophil_CD15_microarray	4	2	280	immune cell
RA-ebi-a-GCST002318	CEDAR.T-cell_CD4_microarray	6	2	290	immune cell
RA-ebi-a-GCST002318	Fairfax_2012.B-cell_CD19_microarray	10	4	281	immune cell
RA-ebi-a-GCST002318	Fairfax_2014.monocyte_LPS2_microarray	1	1	256	immune cell
RA-ebi-a-GCST002318	Fairfax_2014.monocyte_naive_microarray	4	2	420	immune cell
RA-ebi-a-GCST002318	FUSION.adipose_naive_ge	7	4	271	other
RA-ebi-a-GCST002318	GENCORD.LCL_ge	10	3	190	immune cell
RA-ebi-a-GCST002318	GENCORD.T-cell_ge	1	1	184	immune cell
RA-ebi-a-GCST002318	GEUVADIS.LCL_ge	4	2	445	immune cell
RA-ebi-a-GCST002318	HipSci.iPSC_ge	2	2	322	other
RA-ebi-a-GCST002318	Kasela_2017.T-cell_CD4_microarray	9	2	280	immune cell
RA-ebi-a-GCST002318	Lepik_2017.blood_ge	16	3	471	immune cell
RA-ebi-a-GCST002318	Naranbhai_2015.neutrophil_CD16_microarray	3	2	93	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_IAV_ge	10	5	198	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_LPS_ge	8	3	184	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_naive_ge	13	3	200	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_Pam3CSK4_ge	7	2	196	immune cell
RA-ebi-a-GCST002318	Quach_2016.monocyte_R848_ge	8	3	191	immune cell
RA-ebi-a-GCST002318	ROSMAP.brain_naive_ge	20	7	576	other
RA-ebi-a-GCST002318	Schmiedel_2018.B-cell_naive_ge	11	2	91	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	4	1	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.CD4_T-cell_naive_ge	25	4	88	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	4	1	88	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.CD8_T-cell_naive_ge	18	3	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.monocyte_CD16_naive_ge	22	5	90	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.monocyte_naive_ge	9	2	91	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.NK-cell_naive_ge	7	2	90	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Tfh_memory_ge	13	3	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th1_memory_ge	16	4	82	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th1-17_memory_ge	16	3	88	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th17_memory_ge	17	5	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Th2_memory_ge	29	5	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Treg_memory_ge	26	9	89	immune cell
RA-ebi-a-GCST002318	Schmiedel_2018.Treg_naive_ge	24	7	89	immune cell
RA-ebi-a-GCST002318	TwinsUK.blood_ge	19	3	195	immune cell
RA-ebi-a-GCST002318	TwinsUK.fat_ge	6	2	381	other
RA-ebi-a-GCST002318	TwinsUK.LCL_ge	15	6	418	immune cell
RA-ebi-a-GCST002318	TwinsUK.skin_ge	2	1	370	other
SLE-ebi-a-GCST003156	Alasoo_2018.macrophage_IFNg+Salmonella_ge	11	1	84	immune cell
SLE-ebi-a-GCST003156	BLUEPRINT_PE.T-cell_ge	12	5	167	immune cell
SLE-ebi-a-GCST003156	BLUEPRINT_SE.monocyte_ge	14	5	191	immune cell
SLE-ebi-a-GCST003156	BLUEPRINT_SE.neutrophil_ge	7	3	196	immune cell
SLE-ebi-a-GCST003156	BrainSeq.brain_ge	12	4	479	other
SLE-ebi-a-GCST003156	CEDAR.neutrophil_CD15_microarray	2	2	280	immune cell
SLE-ebi-a-GCST003156	CEDAR.T-cell_CD4_microarray	10	2	290	immune cell
SLE-ebi-a-GCST003156	CEDAR.T-cell_CD8_microarray	8	1	277	immune cell
SLE-ebi-a-GCST003156	Fairfax_2014.monocyte_IFN24_microarray	5	4	370	immune cell
SLE-ebi-a-GCST003156	Fairfax_2014.monocyte_LPS2_microarray	1	1	256	immune cell
SLE-ebi-a-GCST003156	Fairfax_2014.monocyte_LPS24_microarray	2	2	325	immune cell
SLE-ebi-a-GCST003156	Fairfax_2014.monocyte_naive_microarray	2	1	420	immune cell
SLE-ebi-a-GCST003156	FUSION.adipose_naive_ge	12	3	271	other
SLE-ebi-a-GCST003156	FUSION.muscle_naive_ge	6	3	288	other
SLE-ebi-a-GCST003156	GENCORD.fibroblast_ge	5	1	186	immune cell
SLE-ebi-a-GCST003156	GENCORD.LCL_ge	6	1	190	immune cell
SLE-ebi-a-GCST003156	GENCORD.T-cell_ge	18	3	184	immune cell
SLE-ebi-a-GCST003156	GEUVADIS.LCL_ge	6	3	445	immune cell
SLE-ebi-a-GCST003156	HipSci.iPSC_ge	6	4	322	other
SLE-ebi-a-GCST003156	Kasela_2017.T-cell_CD4_microarray	8	4	280	immune cell
SLE-ebi-a-GCST003156	Kasela_2017.T-cell_CD8_microarray	2	1	269	immune cell
SLE-ebi-a-GCST003156	Lepik_2017.blood_ge	18	7	471	immune cell
SLE-ebi-a-GCST003156	Nedelec_2016.macrophage_Listeria_ge	19	3	163	immune cell
SLE-ebi-a-GCST003156	Nedelec_2016.macrophage_Salmonella_ge	19	3	167	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_IAV_ge	25	3	198	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_LPS_ge	22	5	184	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_naive_ge	8	2	200	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_Pam3CSK4_ge	25	3	196	immune cell
SLE-ebi-a-GCST003156	Quach_2016.monocyte_R848_ge	14	2	191	immune cell
SLE-ebi-a-GCST003156	ROSMAP.brain_naive_ge	11	3	576	other
SLE-ebi-a-GCST003156	Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_ge	4	3	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.CD4_T-cell_naive_ge	2	1	88	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.CD8_T-cell_anti-CD3-CD28_ge	11	1	88	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.CD8_T-cell_naive_ge	3	1	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.monocyte_CD16_naive_ge	13	2	90	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.monocyte_naive_ge	13	2	91	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Tfh_memory_ge	2	1	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Th1_memory_ge	2	1	82	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Th1-17_memory_ge	3	1	88	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Th17_memory_ge	4	2	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Th2_memory_ge	3	2	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Treg_memory_ge	4	2	89	immune cell
SLE-ebi-a-GCST003156	Schmiedel_2018.Treg_naive_ge	11	4	89	immune cell
SLE-ebi-a-GCST003156	TwinsUK.blood_ge	11	3	195	immune cell
SLE-ebi-a-GCST003156	TwinsUK.fat_ge	6	3	381	other
SLE-ebi-a-GCST003156	TwinsUK.LCL_ge	13	3	418	immune cell
SLE-ebi-a-GCST003156	TwinsUK.skin_ge	1	1	370	other
T2D1-ebi-a-GCST006867	Alasoo_2018.macrophage_IFNg_ge	4	1	84	immune cell
T2D1-ebi-a-GCST006867	Alasoo_2018.macrophage_IFNg+Salmonella_ge	10	1	84	immune cell
T2D1-ebi-a-GCST006867	Alasoo_2018.macrophage_naive_ge	4	1	84	immune cell
T2D1-ebi-a-GCST006867	BLUEPRINT_PE.T-cell_ge	6	2	167	immune cell
T2D1-ebi-a-GCST006867	BLUEPRINT_SE.monocyte_ge	32	12	191	immune cell
T2D1-ebi-a-GCST006867	BLUEPRINT_SE.neutrophil_ge	11	4	196	immune cell
T2D1-ebi-a-GCST006867	BrainSeq.brain_ge	13	5	479	other
T2D1-ebi-a-GCST006867	CEDAR.monocyte_CD14_microarray	7	2	286	immune cell
T2D1-ebi-a-GCST006867	CEDAR.platelet_microarray	1	1	205	immune cell
T2D1-ebi-a-GCST006867	Fairfax_2012.B-cell_CD19_microarray	2	2	281	immune cell
T2D1-ebi-a-GCST006867	Fairfax_2014.monocyte_IFN24_microarray	16	6	370	immune cell
T2D1-ebi-a-GCST006867	Fairfax_2014.monocyte_LPS2_microarray	15	4	256	immune cell
T2D1-ebi-a-GCST006867	Fairfax_2014.monocyte_LPS24_microarray	10	4	325	immune cell
T2D1-ebi-a-GCST006867	Fairfax_2014.monocyte_naive_microarray	7	2	420	immune cell
T2D1-ebi-a-GCST006867	FUSION.adipose_naive_ge	26	6	271	other
T2D1-ebi-a-GCST006867	FUSION.muscle_naive_ge	16	6	288	other
T2D1-ebi-a-GCST006867	GENCORD.fibroblast_ge	1	1	186	immune cell
T2D1-ebi-a-GCST006867	GENCORD.LCL_ge	7	2	190	immune cell
T2D1-ebi-a-GCST006867	GENCORD.T-cell_ge	2	1	184	immune cell
T2D1-ebi-a-GCST006867	GEUVADIS.LCL_ge	9	3	445	immune cell
T2D1-ebi-a-GCST006867	HipSci.iPSC_ge	11	4	322	other
T2D1-ebi-a-GCST006867	Kasela_2017.T-cell_CD4_microarray	6	3	280	immune cell
T2D1-ebi-a-GCST006867	Lepik_2017.blood_ge	26	10	471	immune cell
T2D1-ebi-a-GCST006867	Nedelec_2016.macrophage_Listeria_ge	1	1	163	immune cell
T2D1-ebi-a-GCST006867	Nedelec_2016.macrophage_naive_ge	14	2	163	immune cell
